time,long,lat,speed,heading,odometer,power
1455123129,-92.3570302,38.9237578,5.0,345.1,160582435.0,on
1455123129,-92.3570302,38.9237578,5.0,345.1,160582435.0,on
1455123129,-92.3570302,38.9237578,5.0,345.1,160582435.0,on
1455123129,-92.3570302,38.9237578,5.0,345.1,160582435.0,on
1455123129,-92.3570302,38.9237578,5.0,345.1,160582435.0,on
1455123129,-92.3570302,38.9237578,5.0,345.1,160582435.0,on
1455123129,-92.3570302,38.9237578,5.0,345.1,160582435.0,on
1455123129,-92.3570302,38.9237578,5.0,345.1,160582435.0,on
1455123129,-92.3570302,38.9237578,5.0,345.1,160582435.0,on
1455123129,-92.3570302,38.9237578,5.0,345.1,160582435.0,on
1455123129,-92.3570302,38.9237578,5.0,345.1,160582435.0,on
1455123129,-92.3570302,38.9237578,5.0,345.1,160582435.0,on
1455123129,-92.3570302,38.9237578,5.0,345.1,160582435.0,on
1455123129,-92.3570302,38.9237578,5.0,345.1,160582435.0,on
1455123160,-92.3573229,38.924686,0.0,332.8,160582540.0,on
1455123160,-92.3573229,38.924686,0.0,332.8,160582540.0,on
1455123160,-92.3573229,38.924686,0.0,332.8,160582540.0,on
1455123160,-92.3573229,38.924686,0.0,332.8,160582540.0,on
1455123160,-92.3573229,38.924686,0.0,332.8,160582540.0,on
1455123160,-92.3573229,38.924686,0.0,332.8,160582540.0,on
1455123160,-92.3573229,38.924686,0.0,332.8,160582540.0,on
1455123160,-92.3573229,38.924686,0.0,332.8,160582540.0,on
1455123178,-92.3573267,38.9247068,5.2,325.2,160582545.0,on
1455123178,-92.3573267,38.9247068,5.2,325.2,160582545.0,on
1455123178,-92.3573267,38.9247068,5.2,325.2,160582545.0,on
1455123178,-92.3573267,38.9247068,5.2,325.2,160582545.0,on
1455123178,-92.3573267,38.9247068,5.2,325.2,160582545.0,on
1455123178,-92.3573267,38.9247068,5.2,325.2,160582545.0,on
1455123178,-92.3573267,38.9247068,5.2,325.2,160582545.0,on
1455123178,-92.3573267,38.9247068,5.2,325.2,160582545.0,on
1455123178,-92.3573267,38.9247068,5.2,325.2,160582545.0,on
1455123178,-92.3573267,38.9247068,5.2,325.2,160582545.0,on
1455123178,-92.3573267,38.9247068,5.2,325.2,160582545.0,on
1455123178,-92.3573267,38.9247068,5.2,325.2,160582545.0,on
1455123178,-92.3573267,38.9247068,5.2,325.2,160582545.0,on
1455123178,-92.3573267,38.9247068,5.2,325.2,160582545.0,on
1455123178,-92.3573267,38.9247068,5.2,325.2,160582545.0,on
1455123215,-92.3582883,38.9251317,0.0,169.2,160582655.0,on
1455123215,-92.3582883,38.9251317,0.0,169.2,160582655.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123224,-92.3582857,38.9251322,3.1,169.2,160582665.0,on
1455123301,-92.3571417,38.9240057,0.0,175.9,160582860.0,on
1455123301,-92.3571417,38.9240057,0.0,175.9,160582860.0,on
1455123301,-92.3571417,38.9240057,0.0,175.9,160582860.0,on
1455123301,-92.3571417,38.9240057,0.0,175.9,160582860.0,on
1455123301,-92.3571417,38.9240057,0.0,175.9,160582860.0,on
1455123301,-92.3571417,38.9240057,0.0,175.9,160582860.0,on
1455123301,-92.3571417,38.9240057,0.0,175.9,160582860.0,on
1455123301,-92.3571417,38.9240057,0.0,175.9,160582860.0,on
1455123301,-92.3571417,38.9240057,0.0,175.9,160582860.0,on
1455123301,-92.3571417,38.9240057,0.0,175.9,160582860.0,on
1455123301,-92.3571417,38.9240057,0.0,175.9,160582860.0,on
1455123301,-92.3571417,38.9240057,0.0,175.9,160582860.0,on
1455123301,-92.3571417,38.9240057,0.0,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
